,0
10,"“저는 세 번째 제자의 선택이 잘 이해되지 않았어요. 첫 번째 제자가 다스리기로 한 미래에는 무슨 일이든 생길 수 있는 무한한 가능성이 있죠, 게다가 두 번째 제자가 다스리기로 한 과거에는 지금까지 겪어 온 귀중한 경험들이 있고요. 미래에 대한 희망과 과거로부터의 배움. 이 2가지는 현재를 살아가는데 너무도 중요한 것들이에요.” 달러구트가 보일 듯 말 듯 고개를 끄덕였다. 페니는 멈추지 않고 말했다. “하지만 잠든 시간은 어떤가요? 잠들어 있는 동안에는 아무 일도 벌어지지 않죠. 그저 가만히 누워 시간을 보낼 뿐이에요. 말이 좋아 ... 더보기"
11,"텀블벅 펀딩 1812% 달성! 출간 즉시 3주 연속 종합 베스트셀러 1위!
독자 별점 4.8점(5점 만점)을 기록한 책이 있다. 별점도 400여 명이 남겼다. 독자 리뷰를 보면 ‘다 읽기도 전에 추천하고 싶은 마음에 별점 먼저 남기고 간다’, ‘다 읽어버리는 게 아까워서 천천히 아껴가며 읽고 있다’, ‘판타지 소설인데 나도 모르게 눈물을 흘렸다’ 등등 칭찬 일색이다. 이 책 《달러구트 꿈 백화점》은 전자책 플랫폼인 리디북스를 통해 공개된 후, 여타 유명 작가들의 책을 제치고 종합 베스트셀러 1위의 기염을 토하며 독자 별점 4.8점... 더보기"
12,"《소크라테스 익스프레스》는 마르쿠스 아우렐리우스부터 몽테뉴까지 역사상 가장 위대한 철학자들을 만나러 떠나는 여행기이자, 그들의 삶과 작품 속의 지혜가 우리 인생을 개선하는 데 어떻게 도움이 되는지 답을 찾아가는 책이다. 매력적인 글솜씨로 “빌 브라이슨의 유머와 알랭 드 보통의 통찰력이 만났다”는 평가를 받는 에릭 와이너가 이 여행의 동반자로 나선다."
13,"▶ 『소크라테스 익스프레스』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
* window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
14,"들어가는 말: 출발

1부 새벽
1 마르쿠스 아우렐리우스처럼 침대에서 나오는 법
2 소크라테스처럼 궁금해하는 법
3 루소처럼 걷는 법
4 소로처럼 보는 법
5 쇼펜하우어처럼 듣는 법

2부 정오
6 에피쿠로스처럼 즐기는 법
7 시몬 베유처럼 관심을 기울이는 법
8 간디처럼 싸우는 법
9 공자처럼 친절을 베푸는 법
10 세이 쇼나곤처럼 작은 것에 감사하는 법

3부 황혼
11 니체처럼 후회하지 않는 법
12 에픽테토스처럼 역경에 대처하는 법
13 보부아르처럼 늙어가는 법
14 몽테뉴처럼 죽는 법

나오는 말: 도착"
15,"우리는 우리가 원한다고 생각하는 것을 원하지 않는다. 우리는 우리가 정보와 지식을 원한다고 생각한다. 하지만 그렇지 않다. 우리는 지혜를 원한다. 여기에는 차이가 있다. 정보는 사실이 뒤죽박죽 섞여 있는 것이고, 지식은 뒤죽박죽 섞인 사실을 좀 더 체계적으로 정리한 것이다. 지혜는 뒤얽힌 사실들을 풀어내어 이해하고, 결정적으로 그 사실들을 최대한 활용할 수 있는 방법을 제시한다. 영국의 음악가 마일스 킹턴은 이렇게 말했다. “지식은 토마토가 과일임을 아는 것이다. 지혜는 과일 샐러드에 토마토를 넣지 않는 것이다.” (들어가는 말, ... 더보기"
16,"〈뉴욕타임스〉 베스트셀러 작가 에릭 와이너와 함께 떠나는 철학자행 특급 열차!
2020 아마존 베스트 논픽션, 2020 NPR 올해의 책

- 소크라테스처럼 궁금해하고, 루소처럼 걷고, 소로처럼 볼 수 있을까?
- 간디는 어떻게 싸웠을까, 에픽테토스가 역경에서 벗어난 방법은 무엇일까?
- 노화와 죽음에 대해 보부아르와 몽테뉴는 뭐라고 했을까?
- 에피쿠로스처럼 즐기고, 에픽테토스처럼 역경에 대처할 수 있을까?

프랑스 사상가 모리스 리즐링은 말한다. “결국 인생은 우리 모두를 철학자로 만든다.” 하지만 인생이 호락호락하지 않음을 ... 더보기"
17,"“머리가 아플 정도로 펑펑 울고 말았다.
반드시, 반드시 읽어야 할 작품이다.” _아마존 독자평

제26회 전격소설대상 ‘미디어워크스문고상’ 수상작
총 4,607편의 응모 작품 중 최고로 손꼽힌 걸작,
모든 심사위원이 눈물을 쏟은 압도적 작품!

밤에 자고 일어나면 기억이 리셋되는 ‘선행성 기억상실증’을 앓는 소녀 히노 마오리와 무미건조한 인생을 살고 있는 평범한 고등학생 가미야 도루의 풋풋하고 애틋한 사랑 이야기.

선행성 기억상실증이라는 익숙한 소재를 매우 수준 높은 청춘 소설로 탄생시켰다는 극찬을 받으며 제26회 전격소설대상 ‘미디어워크스문고상’을 수상한 이 작품은 간질간질한 청춘의 로맨스를 전혀 예측할 수 없는 국면으로 끌고 가, 깐깐하고 엄격한 심사위원 모두를 눈물 흘리게 만들었다는 흥미로운 뒷이야기를 남긴 소설이기도 하다.

“날 모르겠지만, 사귀어줄래…?” 어쩔 수 없이 건넨 도루의 거짓 고백을 “날 정말로 좋아하지 말 것. 지킬 수 있어?”라는 조건을 걸고 허락한 히노. 조건부 연애였던 두 사람의 관계는, 연인이지만 연인이 아닌 이 특수한 관계는 ‘매일 기억이 사라지는’ 잔혹한 현실을 극복해나갈 수 있을까? 이들 사랑의 끝에 어떤 결과가 기다리고 있을까?"
18,
19,"모르는 남자애의, 모르는 여자애
걸음을 뗀 두 사람
이 여름은 언제나 한 번
하얀 공백
모르는 여자애의, 모르는 남자애
마음은 너를 그리니까"
20,"“너랑 사귀어도 되지만 조건이 세 개 있어.”
설마 고백을 받아들일 줄은 꿈에도 몰랐다.
눈앞에서 그 애가 손가락을 하나씩 들며 사귀기 위한 조건을 제시했다.
놀라 할 말을 잃었다. _13쪽

“히노, 사진은 왜 찍는 건데?”
히노가 스마트폰으로 나와 와타야의 뒷모습을 찍고 있었다. 내가 따지자 히노는 장난치다가 들킨 초등학생 같은 표정을 지었다.
“가미야, 그렇게 멋대가리 없는 소리는 하는 거 아니야. 남자친구 사진을 찍는데 무슨 의미가 필요해?”
그렇게 말하는 와타야는 나와 히노가 유사 연애 관계라는 사실을 모른다... 더보기"
21,"머리는 너를 잊어도, 심장은 너를 잊지 않았어.
세상에 단 한 번뿐인 하루, 세상에 단 하나뿐인 사랑
촘촘히 쌓아 올린 서사 위에서 불꽃처럼 터지는 강렬한 전율!

무미건조한 인생을 살고 있는 고등학교 2학년생 가미야 도루. 괴롭힘당하는 친구를 돕기 위해 나섰다가 의도치 않은 일에 휘말린다. “1반의 히노 마오리에게 고백하면 더 이상 괴롭히지 않을게.”
어쩔 수 없이 하게 된 거짓 고백. 당연히 거절당할 줄 알았지만, 히노는 세 가지 조건을 내걸고 고백을 받아들인다. “첫째, 학교 끝날 때까지 서로 말 걸지 말 것. 둘째,... 더보기"
22,"“앞으로의 목표는 이 작품을 뛰어넘는 것입니다.”
히가시노 게이고

“다른 어떤 작품보다 번역의 보람을 진하게 느꼈다.
의미 있는 독서를 원하는 모든 이들에게 강력하게 추천하고자 한다.”
옮긴이 양윤옥

■ 이 책은
전 세계 누적 판매 1300만 부 베스트셀러 『나미야 잡화점의 기적』 작가이자, 현존하는 일본 추리소설계 최고의 거장으로 손꼽히는 히가시노 게이고의 장편소설 『백조와 박쥐』가 현대문학에서 출간되었다. 데뷔 35주년을 맞아 2021년 4월에 발표한 이 소설은 한국어판 기준 총 568쪽, 원고지 2천 매가 넘는 대작으로, 2007년부터 15년 가까이 히가시노의 주요 작품들을 우리말로 옮겨온 일본 문학 전문 번역가 양윤옥이 번역을 맡았다.
히가시노는 1985년, 추리 작가들의 등용문이라 불리는 에도가와란포상을 수상하면서 작가 생활을 시작한 이래 그 누구보다 왕성하게 창작을 이어왔다. 다채로운 소재와 주제들에 관심을 가지면서 기발한 트릭과 반전이 빛나는 본격 추리소설부터 이과적 상상력을 가미한 SF, 판타지, 의학 미스터리에 이르기까지 하나의 장르에 머무르지 않는, 그야말로 스펙트럼 넓은 세계를 선보였다. 그중에서도 그에게 오늘의 명성을 안겨준 것은 단연 우리 시대의 병폐와 복잡다단한 인간 본성 그리고 범죄의 심리를 날카롭게 파고드는 ‘사회파 추리소설’ 계열의 작품들이라 할 수 있다. 35주년 기념작 『백조와 박쥐』는 히가시노가 이러한 자신의 추리소설 본령으로 돌아가서 더욱 원숙해진 기량으로 써낸 새로운 대표작이라는 찬사를 받고 있다.
두툼한 분량에도 하루 이틀 만에 독파했다는 현지 독자들의 앞선 리뷰가 증명하듯이, 소설은 33년의 시간차를 두고 일어난 두 개의 살인 사건과, 이에 얽히는 인물들이 저마다 진실을 좇아가는 장대한 이야기를 탄탄한 틀 안에서 흡인력 있게 풀어낸다. 나아가 공소시효 폐지의 소급 적용 문제, 형사재판 피해자 참여제도, SNS 시대에 더욱 논란이 되는 범죄자와 그 가족에 대한 신상 털기나, 공판 절차의 허점 등 굵직한 사회적 논의들을 아우르면서도 추리소설 본연의 재미를 잃지 않으며 차곡차곡 서사를 쌓아나가 놀라운 결말에 다다르는 데는 거장의 노련함이 물씬 느껴진다. 그리고 무엇보다 그 기저에는 인간에 대한 따뜻한 시선을 견지해온 작가가 전하는, 사람들이 살아가는 가슴 뭉클한 드라마가 녹아 있다.

■ “전부 내가 했습니다, 그 모든 사건의 범인은 나예요” - 도서 줄거리 소개
도쿄 해안 도로변에 불법 주차된 차 안에서 흉기에 찔린 사체가 발견된다. 피해자는 정의로운 국선 변호인으로 명망이 높던 변호사 시라이시 겐스케. 주위 인물 모두가 그 변호사에게 원한을 품는 사람은 있을 수 없다고 증언하면서 수사는 난항이 예상되지만, 갑작스럽게 한 남자가 자백하며 사건은 해결된다. 남자는 이어 33년 전 사회를 떠들썩하게 했던 ‘금융업자 살해 사건’의 진범이 바로 자신이라고 밝히며 경찰을 충격에 빠뜨린다. 이미 공소시효가 만료된 그 사건 당시 체포되었던 용의자는 결백을 증명하고자 오래전 유치장에서 자살로 생을 마감한 후였다.

1984년, 용의자의 죽음으로 종결됐던 살인 사건이
2017년, 한 남자의 자백으로 뿌리부터 뒤흔들린다
30여 년에 걸친 미스터리를 추적하는, 히가시노 게이고판 『죄와 벌』!"
23,이 도서는 목차가 없습니다
24,"“구라키 씨가 뭔 사고라도 쳤어?”
“그건 아직……. 알아보려고 여기저기 얘기를 듣고 다니는 중이죠. 여기도 그렇고.”
“그러셔? 어떤 수사인지는 모르겠는데 구라키 씨를 의심하는 거라면 잘못 짚으셨어. 그 사람이 나쁜 짓을 할 리가 없거든.” 요코는 딱 잘라 말했다.
참고하겠습니다, 라고 대답하면서 고다이는 기묘한 느낌이 들었다. 방금 요코가 한 말에서 뭔가 걸리는 게 감지되었던 것이다. 그게 무엇인지는 자신도 알 수 없었다. _58쪽

미궁에 빠진다…….
구라키의 자백은 수많은 의문을 풀어주는 것이었다. 하지만 한 가지, 큰 수수... 더보기"
25,"■ 일본 서점원과 독자들이 보낸 찬사
★★★★★ 수많은 히가시노 작품 중에서도 최상위에 오를 걸작. 하나하나의 조각이 퍼즐을 채워가듯이 다양한 진실이 밝혀진다. 읽기 시작하면 멈출 수 없다.
★★★★★ 『백야행』 『용의자 X의 헌신』을 읽을 때의 감정이 밀려왔다.
★★★★★ 인간을 묘사하는 시선에서 거대한 선함을 느낀다.
★★★★★ 오랜만에 묵직한 히가시노 게이고 작품!
★★★★★ 연이어 몰아치는 진실과 마지막의 선명한 대반전. 시종 가슴이 뭉클해지는 스토리지만 어딘가 맑은 순수함을 남긴 채 막을 내린다. 틀림없는 히가시노 게이고 ... 더보기"
26,"1952년생 멋쟁이 할머니, 한국인 최초 밀라노 패션 유학생, 서울 아시안게임 개ㆍ폐회식 의상 디자이너, 이탈리아 정부 명예기사 작위 수여자, 구독자 수 100만 명을 향해가는 유튜버, 밀라논나 장명숙(이하 밀라논나)을 지칭하는 수식어를 한 단어로 압축한다면, 우리가 꿈꾸는 좋은 ‘어른’이다. 포용력을 갖춘 어른, 무해한 영감을 주는 어른, 성공보다 성장을 권유하는 어른, 우리가 닮고 싶은 그런 어른 말이다.

《햇빛은 찬란하고 인생은 귀하니까요》는 완고한 고집보다 유연한 소신을 가진 밀라논나의 인생 내공을 담은 에세이다. “하나뿐인 나에게 예의를 갖”추면서 “이해하고 안아주는 사람이” 되기까지의 과정이 고스란히 담겨 있고, 평생 쌓인 경험과 지혜가 오롯이 스며 있다. 세월의 흐름에 따라 자연스레 습득한 봉사와 검약의 생활 철학과 지속가능한 삶을 위한 조언을 전하고, 유튜브에서 못다 한 속 깊은 이야기도 풀어놓아 진짜 멋이 무엇인지 생각하게 한다.

‘밀며든다.’ ‘밀라논나에게 스며든다’라는 의미로 사람들이 그에게 붙여준 말이다. 왜 많은 사람이 이토록 밀라논나의 라이프스타일에 열광하며 그의 이야기를 듣고 싶어 할까? ‘어떻게 나다운 인생을 살 것인가’ ‘어떻게 품위를 지킬 것인가’ ‘어떻게 이 사회에 보탬이 될 것인가’에 대한 현실적인 답이 이 책 곳곳에 녹아 있다. 내장지방보다 내공이 탄탄히 쌓인 어른이 되어가길 바라는 젊은이들, 인생의 후반전을 경쾌하게 보내고 싶은 중장년들, 오늘도 고군분투하며 괜찮은 내일을 소망하는 모든 이에게 밀라논나는 위안과 희망의 언어를 전한다."
27,"▶ 『햇빛은 찬란하고 인생은 귀하니까요: 밀라논나 이야기』 북트레일러

* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
28,
29,"여는 글: 내일이 궁금한 삶

논나의 이야기 1.
자존 | 하나뿐인 나에게 예의를 갖출 것
울고 있는 제자에게
“남이 보더라도”라는 말
삭발이 어때서
엄친아에 관하여
세 명의 멘토가 가르쳐준 것
특혜보다는 자유를
비혼주의자들에게
선택할 수 있는 것과 선택할 수 없는 것
꿈을 바꾸게 만든 삼풍백화점 참사
백조가 되고픈 미운 오리
‘숙제처럼’ 말고 ‘축제처럼’
유년의 기억
‘지 맥’대로 사는 거지
고민이 깊어지는 실버 유튜버

논나의 이야기 2.
충실 | 24시간을 알뜰히 살아볼 것
날마다 걷는다
햇살멍 때리기
시간 관리자로 사는 방법
오감 만족! 행복 타임
제로 웨이스트를 생각하던 날
버려진 식물들을 키우며
정리하면 삶도 명료해지더라
노년기 근무 태도
욜로와 파이어, 무엇을 선택하든
“라떼는 말이야”
골프보다 더 즐거운 것
나의 콘소르테 이야기
추억을 건네는 벼룩시장
찬란하게 나이 들기

논나의 이야기 3.
품위 | 조금씩 비울수록 편안해지는 것
새 옷과 넝마의 한 끗 차이
아르마니보다 더 좋은 옷은
당신만의 색깔이 있습니까?
럭셔리는 태도에서 나온다
‘옷 잘 입는 방법’에 대한 소회
옷을 잘 안 사는 이유
억지로라도 웃어보자
함무니의 어록
노화 방지 마케팅을 바라보며
대사님이 정말 궁금해하던 풍경
주인 잃은 러브레터를 보며
남이야 어떻게 살든
의복 변천사의 뒤안길

논나의 이야기 4.
책임 | 이해하고 안아주는 사람이 되어볼 것
장기기증을 신청하다
8년 쓴 냉장고를 버리며
수저계급론 유감
며느리는 아들의 반려자일 뿐
결혼이란 봄꽃과 가을꽃의 만남
‘그게 뭐 어때서’의 자세로
무엇이 더 중한데?
세계 여성의 날을 맞아 생각한다
모두가 기뻐하는 명절일 순 없을까
정책입안자 분들께
아프리카에서의 700원
아홉 번째 지능을 가진 사람들
엉터리 기도라도 들어주시는 이

닫는 글: 고민보다는 일단 시작하기
추천의 글"
30,"이 나이가 되니 곳곳에서 ‘사는 게 뭘까?’라고 묻는다.
사는 게 뭐 별것일까.
태어나졌으면 열심히 사는 거고.
어려운 이들을 돕고 살면 좋고.
내 몫을 책임져주지 않을 사람들의 말은 귀담아두지 말고.

인생의 고비마다 되풀이하던 말이 있다.
“그래, 산이라면 넘고 강이라면 건너자.
언젠가 끝이 보이겠지.” _8쪽
...............................................................

내가 어릴 때, 엉터리로 만든 옷을 인형에게 입히며
신바람이 나서 노래를 흥얼거리면 어른들이 말씀하셨다.... 더보기"
31,"★밀라논나 선생님과의 대화에는 ‘나’에 대한 생각을 열어주는 힘이 있다. _유희열 아티스트
★흐트러짐이 아닌 유연함을, 고집스러움이 아닌 고유함을 갖춘 어른이 어떤 모습인지를 보여주었고, 우리는 열광했다. _김이나 작사가
★이 책에 담긴 담백한 응원이 지금처럼 필요할 때가 없는 것 같다. _정세랑 소설가

“인생을 정성껏 살았을 뿐
멋있는 게 아니라 나를 지키며 사는 것뿐”
밀라논나 장명숙의 인생 내공에 밀며든다!

눈부시게 반짝이는 백발, 멋이 느껴지는 옷차림, 각자의 개성을 존중하는 태도, 온화하고 품격 있는 어투, 자기주장을 ... 더보기"
32,"“청약은 문턱이 높고, 신축은 비싼 당신에게
‘천국으로 가는 비상구’가 열렸다!”

어려운 숫자 몰라도 복잡한 과정이 한눈에 펼쳐지는
세상에서 제일 쉬운 재건축·재개발 핵심 노하우

★★★ 빠숑(김학렬) 강력 추천 ★★★
★★★ 채널A 〈서민갑부〉 화제의 내 집 마련 멘토 ★★★
★★★ 2021년 최신 정비사업 현황 지도 수록 ★★★
★★★ 국내 최초 리모델링 예정 단지 리스트 수록 ★★★"
33,"▶ 『대한민국 재건축 재개발 지도』 북트레일러


* 출판사의 사정에 따라 서비스가 변경 또는 중지될 수 있습니다.
*window7의 경우 사운드 연결이 없을시, 동영상 재생에 오류가 발생할 수 있습니다. 이어폰, 스피커 등이 연결되어 있는지 확인 하시고 재생하시기 바랍니다."
34,
